Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,
2017116,0:49:55,5,21.5625,,2017116,0:50:10,5,-1,,
2017116,0:50:15,5,17,,2017116,0:50:30,5,-1,,
2017116,0:50:45,5,-1,,2017116,0:51:0,5,-1,,
2017116,0:51:5,5,16.1875,,2017116,0:51:20,5,-1,,
2017116,0:51:25,5,16.3125,,2017116,0:51:40,5,-1,,
2017116,0:51:45,5,16.3125,,2017116,0:52:0,5,-1,,
2017116,0:52:5,5,16.375,,2017116,0:52:20,5,-1,,
2017116,0:52:25,5,16.5,,2017116,0:52:40,5,-1,,
2017116,0:52:45,5,16.625,,2017116,0:53:0,5,-1,,
2017116,0:53:5,5,16.6875,,2017116,0:53:21,5,-1,,
2017116,0:53:26,5,16.75,,2017116,0:53:41,5,-1,,
2017116,0:53:46,5,16.75,,2017116,0:54:1,5,-1,,
2017116,0:54:6,5,16.8125,,2017116,0:54:21,5,-1,,
2017116,0:54:26,5,16.875,,2017116,0:54:41,5,-1,,
2017116,0:54:56,5,-1,,2017116,0:55:11,5,-1,,
2017116,0:55:16,5,17,,2017116,0:55:31,5,-1,,
2017116,0:55:36,5,17,,2017116,0:55:51,5,-1,,
2017116,0:55:56,5,17.0625,,2017116,0:56:11,5,-1,,
2017116,0:56:16,5,17.125,,2017116,0:56:31,5,-1,,
2017116,0:56:36,5,17.125,,2017116,0:56:51,5,-1,,
2017116,0:56:57,5,17.1875,,2017116,0:57:12,5,-1,,
2017116,0:57:17,5,17.25,,2017116,0:57:32,5,-1,,
2017116,0:57:37,5,17.25,,2017116,0:57:52,5,-1,,
2017116,0:57:57,5,17.3125,,2017116,0:58:12,5,-1,,
2017116,0:58:17,5,17.375,,2017116,0:58:32,5,-1,,
2017116,0:58:37,5,17.375,,2017116,0:58:52,5,-1,,
2017116,0:58:57,5,17.375,,2017116,0:59:12,5,-1,,
2017116,0:59:17,5,17.4375,,2017116,0:59:32,5,-1,,
2017116,0:59:47,5,-1,,2017116,1:0:2,40,-1,,2017116,1:0:17,40,-1,,
2017116,1:0:23,40,17.5,,2017116,1:0:38,40,-1,,
2017116,1:0:43,40,17.5,,2017116,1:0:58,40,-1,,
2017116,1:1:3,40,19.8125,,2017116,1:1:10,40,21.5,,
2017116,1:1:25,40,-1,,2017116,1:1:40,40,-1,,
2017116,1:1:45,40,36.375,,2017116,1:2:0,40,-1,,
2017116,1:2:5,40,39.3125,,2017116,1:2:20,40,-1,,
2017116,1:2:25,40,40.3125,,2017116,1:2:40,40,-1,,
2017116,1:2:45,40,40.625,,2017116,1:3:0,40,-1,,
2017116,1:3:15,40,-1,,2017116,1:3:30,40,-1,,2017116,1:3:35,60,42.6875,,2017116,1:3:51,60,-1,,
2017116,1:3:56,60,43.25,,2017116,1:4:1,60,0,,
2017116,1:4:6,60,43.375,,2017116,1:4:21,60,-1,,
2017116,1:4:26,60,46.3125,,2017116,1:4:41,60,-1,,
2017116,1:4:46,60,53,,2017116,1:5:1,60,-1,,
2017116,1:5:6,60,56.75,,2017116,1:5:21,60,-1,,
2017116,1:5:26,60,58.1875,,2017116,1:5:41,60,-1,,
2017116,1:5:46,60,58.375,,2017116,1:6:1,60,-1,,
2017116,1:6:6,60,58.4375,,2017116,1:6:21,60,-1,,
2017116,1:6:26,60,58.75,,2017116,1:6:41,60,-1,,
2017116,1:6:46,60,59.5625,,2017116,1:7:2,60,-1,,
2017116,1:7:7,60,59.6875,,2017116,1:7:22,60,-1,,
2017116,1:7:27,60,59.8125,,2017116,1:7:32,60,59.75,,
2017116,1:7:47,60,-1,,2017116,1:8:2,60,-1,,
2017116,1:8:7,60,61,,2017116,1:8:22,60,-1,,
2017116,1:8:27,60,61.375,,2017116,1:8:42,60,-1,,
2017116,1:8:47,60,61.3125,,2017116,1:9:2,60,-1,,
2017116,1:9:7,60,61.875,,2017116,1:9:22,60,-1,,
2017116,1:9:27,60,62.75,,2017116,1:9:42,60,-1,,
2017116,1:9:47,60,63,,2017116,1:10:2,60,-1,,
2017116,1:10:7,60,63.0625,,2017116,1:10:22,60,-1,,
2017116,1:10:27,60,63.4375,,2017116,1:10:43,60,-1,,
2017116,1:10:48,60,64.125,,2017116,1:11:1,60,0,,
2017116,1:11:6,60,64.25,,2017116,1:11:22,60,-1,,
2017116,1:11:37,60,-1,,2017116,1:11:42,80,64.4375,,2017116,1:11:57,80,-1,,
2017116,1:12:2,80,64.625,,2017116,1:12:17,80,-1,,
2017116,1:12:22,80,64.6875,,2017116,1:12:37,80,-1,,
2017116,1:12:42,80,70.6875,,2017116,1:12:57,80,-1,,
2017116,1:13:2,80,75.375,,2017116,1:13:17,80,-1,,
2017116,1:13:22,80,76.8125,,2017116,1:13:37,80,-1,,
2017116,1:13:42,80,77.375,,2017116,1:13:57,80,77.6875,,
2017116,1:14:12,80,-1,,2017116,1:14:27,80,-1,,
2017116,1:14:32,80,78.75,,2017116,1:14:47,80,-1,,
2017116,1:14:52,80,79.375,,2017116,1:15:7,80,-1,,
2017116,1:15:12,80,80,,2017116,1:15:27,80,-1,,
2017116,1:15:32,80,80.5,,2017116,1:15:47,80,-1,,
2017116,1:15:52,80,81.1875,,2017116,1:16:8,80,-1,,
2017116,1:16:13,80,81.6875,,
