Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,

2017217,19:17:8,50,-1,,2017217,19:17:13,50,31.25,,2017217,19:17:23,50,-1,,
2017217,19:17:33,50,-1,,2017217,19:17:38,50,31.25,,2017217,19:17:48,50,-1,,
2017217,19:17:58,50,-1,,2017217,19:18:3,50,31.5,,2017217,19:18:13,50,-1,,
2017217,19:18:24,50,-1,,2017217,19:18:29,50,31.25,,2017217,19:18:39,50,-1,,
2017217,19:18:49,50,-1,,2017217,19:18:54,50,31.25,,2017217,19:19:4,50,-1,,
2017217,19:19:14,50,-1,,2017217,19:19:22,50,31.5,,2017217,19:19:32,50,-1,,
2017217,19:19:43,50,-1,,2017217,19:19:48,50,31.25,,2017217,19:19:58,50,-1,,
2017217,19:20:8,50,-1,,2017217,19:20:13,50,31.25,,2017217,19:20:23,50,-1,,
2017217,19:20:33,50,-1,,2017217,19:20:38,50,31.25,,2017217,19:20:48,50,-1,,
2017217,19:20:58,50,-1,,2017217,19:21:3,50,31.25,,2017217,19:21:14,50,-1,,
2017217,19:21:24,50,-1,,2017217,19:21:29,50,31.25,,2017217,19:21:39,50,-1,,
2017217,19:21:49,50,-1,,2017217,19:21:54,50,31.25,,2017217,19:22:4,50,-1,,
2017217,19:22:14,50,-1,,2017217,19:22:19,50,31.5,,2017217,19:22:30,50,-1,,
2017217,19:22:40,50,-1,,2017217,19:22:45,50,31.25,,2017217,19:22:55,50,-1,,
2017217,19:23:5,50,-1,,2017217,19:23:10,50,31.25,,2017217,19:23:20,50,-1,,
2017217,19:23:30,50,-1,,2017217,19:23:35,50,31.25,,2017217,19:23:45,50,-1,,
2017217,19:23:56,50,-1,,2017217,19:24:1,50,31.25,,2017217,19:24:11,50,-1,,
2017217,19:24:21,50,-1,,2017217,19:24:26,50,31.25,,2017217,19:24:36,50,-1,,
2017217,19:24:46,50,-1,,2017217,19:24:51,50,31.25,,2017217,19:25:1,50,-1,,
2017217,19:25:11,50,-1,,2017217,19:25:16,50,31.25,,2017217,19:25:27,50,-1,,
2017217,19:25:37,50,-1,,2017217,19:25:42,50,31.25,,2017217,19:25:52,50,-1,,
2017217,19:26:2,50,-1,,2017217,19:26:7,50,31.25,,2017217,19:26:17,50,-1,,
2017217,19:26:27,50,-1,,2017217,19:26:32,50,31.5,,2017217,19:26:43,50,-1,,
2017217,19:26:53,50,-1,,2017217,19:26:58,50,31.5,,2017217,19:27:8,50,-1,,
2017217,19:27:18,50,-1,,2017217,19:27:23,50,31.5,,2017217,19:27:33,50,-1,,
2017217,19:27:43,50,-1,,2017217,19:27:48,50,31.5,,2017217,19:27:58,50,-1,,
2017217,19:28:9,50,-1,,2017217,19:28:14,50,31.25,,2017217,19:28:24,50,-1,,
2017217,19:28:34,50,-1,,2017217,19:28:39,50,31.25,,2017217,19:28:49,50,-1,,
2017217,19:28:59,50,-1,,2017217,19:29:4,50,31.25,,2017217,19:29:14,50,-1,,
2017217,19:29:25,50,-1,,2017217,19:29:30,50,31.25,,2017217,19:29:40,50,-1,,
2017217,19:29:50,50,-1,,2017217,19:29:55,50,31.5,,2017217,19:30:5,50,-1,,
2017217,19:30:15,50,-1,,2017217,19:30:20,50,31.25,,2017217,19:30:30,50,-1,,
2017217,19:30:40,50,-1,,2017217,19:30:45,50,31.25,,2017217,19:30:56,50,-1,,
2017217,19:31:6,50,-1,,2017217,19:31:14,50,31.25,,2017217,19:31:24,50,-1,,
2017217,19:31:34,50,-1,,2017217,19:31:39,50,31.25,,2017217,19:31:49,50,-1,,
2017217,19:31:59,50,-1,,2017217,19:32:4,50,31.5,,2017217,19:32:15,50,-1,,
2017217,19:32:25,50,-1,,2017217,19:32:30,50,31.5,,2017217,19:32:40,50,-1,,
2017217,19:32:50,50,-1,,2017217,19:32:55,50,31.5,,2017217,19:33:5,50,-1,,
2017217,19:33:15,50,-1,,2017217,19:33:20,50,31.5,,2017217,19:33:31,50,-1,,
2017217,19:33:41,50,-1,,2017217,19:33:46,50,31.5,,2017217,19:33:56,50,-1,,
2017217,19:34:6,50,-1,,2017217,19:34:11,50,31.5,,2017217,19:34:21,50,-1,,
2017217,19:34:31,50,-1,,2017217,19:34:36,50,31.5,,2017217,19:34:46,50,-1,,
2017217,19:34:57,50,-1,,2017217,19:35:2,50,31.5,,2017217,19:35:12,50,-1,,
2017217,19:35:22,50,-1,,2017217,19:35:27,50,31.5,,2017217,19:35:37,50,-1,,
2017217,19:35:47,50,-1,,2017217,19:35:52,50,31.5,,2017217,19:36:2,50,-1,,
2017217,19:36:12,50,-1,,2017217,19:36:17,50,31.5,,2017217,19:36:28,50,-1,,
2017217,19:36:38,50,-1,,2017217,19:36:43,50,31.5,,2017217,19:36:53,50,-1,,
2017217,19:37:3,50,-1,,2017217,19:37:8,50,31.5,,2017217,19:37:18,50,-1,,
