Date,Time,Temp1RequestedTemperature[C],Temp1MeasuredTemperature[C],,Temp2RequestedTemperature[C],Temp2MeasuredTemperature[C],,Temp3RequestedTemperature[C],Temp3MeasuredTemperature[C],,
201731,13:31:41,30,-1,,25,-1,,35,-1,,
201731,13:31:51,30,-1,,25,-1,,35,-1,,
201731,13:32:1,30,-1,,25,-1,,35,-1,,
201731,13:32:12,30,-1,,25,-1,,35,-1,,
201731,13:32:17,30,0,,25,0,,35,0,,
201731,13:32:22,30,0,,25,0,,35,0,,
201731,13:32:27,30,0,,25,0,,35,0,,
201731,13:32:32,30,0,,25,0,,35,0,,
201731,13:32:37,30,31,,25,30.75,,35,31.5,,
201731,13:32:42,30,31.25,,25,23,,35,28,,
201731,13:32:47,30,37.75,,25,31.25,,35,31,,
201731,13:32:52,30,37.75,,25,31.25,,35,31,,
201731,13:32:57,30,37.75,,25,31.25,,35,31,,
201731,13:33:2,30,35.25,,25,31,,35,31.75,,
201731,13:33:7,30,35.25,,25,31,,35,31.75,,
201731,13:33:12,30,35.25,,25,31,,35,31.75,,
201731,13:33:17,30,33.5,,25,31,,35,31.75,,
201731,13:33:22,30,33.5,,25,31,,35,31.75,,
201731,13:33:27,30,19.75,,25,10,,35,8.25,,
201731,13:33:32,30,17,,25,-10,,35,-3.75,,
201731,13:33:37,30,17,,25,-10,,35,-3.75,,
201731,13:33:42,30,17,,25,-10,,35,-3.75,,
201731,13:33:47,30,-28.75,,25,-7.5,,35,3.75,,
201731,13:33:53,30,32,,25,-13,,35,6.75,,
201731,13:33:58,30,32,,25,-13,,35,6.75,,
201731,13:34:3,30,32,,25,-13,,35,6.75,,
201731,13:34:8,30,13,,25,-37.25,,35,21.5,,
201731,13:34:13,30,13,,25,-37.25,,35,21.5,,
201731,13:34:18,30,25,,25,26.75,,35,31.25,,
201731,13:34:23,30,-28.75,,25,-17,,35,16.75,,
201731,13:34:28,30,-28.75,,25,-17,,35,16.75,,
201731,13:34:33,30,-28.75,,25,-17,,35,16.75,,
